p,k,size,order
17,3,11,21846
17,3,11,65536
17,3,11,21846
17,3,11,65536
17,3,11,65536
17,3,11,21846
17,3,11,65536
17,3,11,65536
17,3,11,65536
17,3,11,65536
17,3,11,65536
17,3,11,4370
17,3,11,13108
17,3,11,65536
17,3,11,65536
17,3,11,65536
17,3,11,65536
17,3,11,65536
17,3,11,65536
17,3,11,21846
17,3,11,65536
17,3,11,21846
17,3,11,21846
17,3,11,65536
17,3,11,21846
17,3,11,65536
17,3,11,65536
17,3,11,13108
17,3,11,21846
17,3,11,13108
17,3,11,21846
17,3,11,65536
17,3,11,4370
17,3,11,772
17,3,11,13108
17,3,11,21846
17,3,11,65536
17,3,11,65536
17,3,11,65536
17,3,11,65536
17,3,11,21846
17,3,11,4370
17,3,11,65536
17,3,11,65536
17,3,11,4370
17,3,11,65536
17,3,11,21846
17,3,11,4370
17,3,11,65536
17,3,11,1286
17,3,11,21846
17,3,11,65536
17,3,11,21846
17,3,11,65536
17,3,11,21846
17,3,11,65536
17,3,11,21846
17,3,11,65536
17,3,11,21846
17,3,11,65536
17,3,11,3856
17,3,11,3856
17,3,11,65536
17,3,11,21846
17,3,11,65536
17,3,11,1286
17,3,11,65536
17,3,11,21846
17,3,11,65536
17,3,11,13108
17,3,11,65536
17,3,11,65536
17,3,11,65536
17,3,11,65536
17,3,11,21846
17,3,11,65536
17,3,11,65536
17,3,11,65536
17,3,11,21846
17,3,11,65536
17,3,11,65536
17,3,11,65536
17,3,11,65536
17,3,11,1286
17,3,11,772
17,3,11,772
17,3,11,13108
17,3,11,65536
17,3,11,65536
17,3,11,65536
17,3,11,65536
17,3,11,65536
17,3,11,65536
17,3,12,21846
17,3,12,65536
17,3,12,65536
17,3,12,4370
17,3,12,65536
17,3,12,21846
17,3,12,21846
17,3,12,65536
17,3,12,21846
17,3,12,21846
17,3,12,4370
17,3,12,65536
17,3,12,21846
17,3,12,4370
17,3,12,21846
17,3,12,65536
17,3,12,65536
17,3,12,21846
17,3,12,65536
17,3,12,65536
17,3,12,65536
17,3,12,1286
17,3,12,4370
17,3,12,21846
17,3,12,21846
17,3,12,65536
17,3,12,65536
17,3,12,21846
17,3,12,65536
17,3,12,65536
17,3,12,65536
17,3,12,13108
17,3,12,65536
17,3,12,65536
17,3,12,65536
17,3,12,4370
17,3,12,21846
17,3,12,13108
17,3,12,65536
17,3,12,65536
17,3,12,21846
17,3,12,4370
17,3,12,65536
17,3,12,4370
17,3,12,65536
17,3,12,21846
17,3,12,21846
17,3,12,65536
17,3,12,65536
17,3,12,21846
17,3,12,4370
17,3,12,21846
17,3,12,1286
17,3,12,65536
17,3,12,65536
17,3,12,21846
17,3,12,21846
17,3,12,13108
17,3,12,65536
17,3,12,4370
17,3,12,65536
17,3,12,65536
17,3,12,21846
17,3,12,65536
17,3,12,21846
17,3,12,4370
17,3,12,65536
17,3,12,3856
17,3,12,21846
17,3,12,65536
17,3,12,65536
17,3,12,65536
17,3,12,21846
17,3,12,65536
17,3,12,65536
17,3,12,13108
17,3,12,21846
17,3,12,65536
17,3,12,65536
17,3,12,13108
17,3,12,4370
17,3,12,86
17,3,12,21846
17,3,12,65536
17,3,12,21846
17,3,12,65536
17,3,12,65536
17,3,12,65536
17,3,12,4370
17,3,12,65536
17,3,12,21846
17,3,12,65536
17,3,12,65536
17,3,12,21846
17,3,12,4370
17,3,12,1286
17,3,12,65536
17,3,12,65536
17,3,12,65536
17,3,12,4370
17,3,13,13108
17,3,13,21846
17,3,13,65536
17,3,13,65536
17,3,13,65536
17,3,13,21846
17,3,13,65536
17,3,13,65536
17,3,13,65536
17,3,13,65536
17,3,13,65536
17,3,13,21846
17,3,13,65536
17,3,13,65536
17,3,13,13108
17,3,13,65536
17,3,13,21846
17,3,13,65536
17,3,13,21846
17,3,13,65536
17,3,13,65536
17,3,13,65536
17,3,13,21846
17,3,13,65536
17,3,13,65536
17,3,13,21846
17,3,13,65536
17,3,13,65536
17,3,13,65536
17,3,13,21846
